,actor,ciudad,nombres,representante
208,pepe-sevilla,no hay info,,Única Representaciones
209,mateo-rubistein,no hay info,Mar Navarro,Única Representaciones
210,mateo-rubistein,no hay info,Andrés Hernández,Única Representaciones
211,mateo-rubistein,no hay info,Universidad Rey,Única Representaciones
212,mateo-rubistein,no hay info,Juan Carlos,Única Representaciones
213,mateo-rubistein,no hay info,Alberto Rodríguez,Única Representaciones
214,mateo-rubistein,no hay info,Rafael Cobos,Única Representaciones
215,mateo-rubistein,no hay info,Cristina Rota,Única Representaciones
216,mateo-rubistein,no hay info,Benito Zambrano,Única Representaciones
217,mateo-rubistein,no hay info,,Única Representaciones
218,mateo-rubistein,no hay info,,Única Representaciones
219,mateo-rubistein,no hay info,,Única Representaciones
220,mateo-rubistein,no hay info,,Única Representaciones
221,mateo-rubistein,no hay info,,Única Representaciones
222,mateo-rubistein,no hay info,,Única Representaciones
223,víctor-castilla,Málaga,Escuela Superior,Única Representaciones
224,víctor-castilla,Málaga,Arte Dramático,Única Representaciones
225,víctor-castilla,no hay info,,Única Representaciones
226,víctor-castilla,no hay info,,Única Representaciones
227,víctor-castilla,no hay info,,Única Representaciones
228,víctor-castilla,no hay info,,Única Representaciones
229,víctor-castilla,no hay info,,Única Representaciones
230,víctor-castilla,no hay info,,Única Representaciones
231,víctor-castilla,no hay info,,Única Representaciones
232,david-mora,no hay info,Giles Foreman,Única Representaciones
233,david-mora,no hay info,Estudio Corazza,Única Representaciones
234,david-mora,no hay info,Curso Anual,Única Representaciones
235,david-mora,no hay info,Estudio Juan,Única Representaciones
236,david-mora,no hay info,Chules Piñiango,Única Representaciones
237,david-mora,no hay info,Raquel Pérez,Única Representaciones
238,david-mora,no hay info,Estudio Interactivo,Única Representaciones
239,david-mora,no hay info,Raquel Pérez,Única Representaciones
240,david-mora,no hay info,Vicente Fuentes,Única Representaciones
241,david-mora,no hay info,Sara Pérez,Única Representaciones
242,david-mora,no hay info,Laura Toledo,Única Representaciones
243,david-mora,no hay info,Inés Piñole,Única Representaciones
244,david-mora,no hay info,,Única Representaciones
245,david-mora,no hay info,Cambrigde Certificate,Única Representaciones
246,david-mora,no hay info,Advanced English,Única Representaciones
247,david-mora,no hay info,,Única Representaciones
248,david-mora,no hay info,,Única Representaciones
249,david-mora,no hay info,,Única Representaciones
250,david-mora,no hay info,Mejor Actor,Única Representaciones
251,david-mora,no hay info,Los Amigos,Única Representaciones
252,david-mora,no hay info,Euphoria Int,Única Representaciones
253,david-mora,no hay info,Comunicación Audiovisual,Única Representaciones
254,david-mora,no hay info,,Única Representaciones
255,ángel-velasco,Málaga,Escuela Superior,Única Representaciones
256,ángel-velasco,Málaga,Arte Dramático,Única Representaciones
257,ángel-velasco,no hay info,Lorena García,Única Representaciones
258,ángel-velasco,no hay info,Sara Nuñez,Única Representaciones
259,ángel-velasco,no hay info,Luisa Ezquerra,Única Representaciones
260,ángel-velasco,no hay info,Locución Luisa,Única Representaciones
261,ángel-velasco,no hay info,Voz Método,Única Representaciones
262,ángel-velasco,no hay info,Prado Pinilla,Única Representaciones
263,ángel-velasco,no hay info,Charlie Levi,Única Representaciones
264,ángel-velasco,no hay info,Máster Interpretación,Única Representaciones
265,ángel-velasco,no hay info,,Única Representaciones
266,ángel-velasco,no hay info,,Única Representaciones
267,ángel-velasco,no hay info,,Única Representaciones
268,ángel-velasco,no hay info,,Única Representaciones
269,agustin-otón,Murcia,Arte Dramático,Única Representaciones
270,agustin-otón,no hay info,,Única Representaciones
271,agustin-otón,Holstebro,Isabel Úbeda,Única Representaciones
272,agustin-otón,no hay info,,Única Representaciones
273,agustin-otón,no hay info,,Única Representaciones
274,agustin-otón,no hay info,,Única Representaciones
275,agustin-otón,no hay info,Antón Valen,Única Representaciones
276,agustin-otón,no hay info,,Única Representaciones
277,agustin-otón,no hay info,,Única Representaciones
278,agustin-otón,no hay info,,Única Representaciones
279,agustin-otón,no hay info,Educación Musical,Única Representaciones
280,agustin-otón,no hay info,,Única Representaciones
281,agustin-otón,no hay info,,Única Representaciones
282,agustin-otón,no hay info,,Única Representaciones
283,agustin-otón,no hay info,,Única Representaciones
284,agustin-otón,no hay info,,Única Representaciones
285,agustin-otón,no hay info,,Única Representaciones
286,agustin-otón,no hay info,,Única Representaciones
287,agustin-otón,no hay info,,Única Representaciones
288,rubén-de-eguía,no hay info,,Única Representaciones
289,rubén-de-eguía,Temple,,Única Representaciones
290,rubén-de-eguía,no hay info,Jerzy Grotowski,Única Representaciones
291,rubén-de-eguía,no hay info,Juan Carlos,Única Representaciones
292,rubén-de-eguía,no hay info,Claudio Tolcachir,Única Representaciones
293,rubén-de-eguía,no hay info,Teatro Revelación,Única Representaciones
294,rubén-de-eguía,no hay info,La Vida,Única Representaciones
295,rubén-de-eguía,no hay info,Por Delante,Única Representaciones
296,rubén-de-eguía,no hay info,,Única Representaciones
297,rubén-de-eguía,no hay info,,Única Representaciones
298,rubén-de-eguía,no hay info,,Única Representaciones
299,jesús-caba,Rota,Arte Dramático,Única Representaciones
300,jesús-caba,Rota,Cristina Rota,Única Representaciones
301,jesús-caba,Barcelona,Nancy Tuñon,Única Representaciones
302,jesús-caba,no hay info,Joaquín Oristrell,Única Representaciones
303,josé-gabriel-campos,Murcia,Arte Dramático,Única Representaciones
304,josé-gabriel-campos,Murcia,Escuela Superior,Única Representaciones
305,josé-gabriel-campos,Murcia,Arte Dramático,Única Representaciones
306,josé-gabriel-campos,no hay info,Aptitud Pedagógica,Única Representaciones
307,josé-gabriel-campos,no hay info,Universitat Jaume,Única Representaciones
308,josé-gabriel-campos,Compostela,Escuela Internacional,Única Representaciones
309,josé-gabriel-campos,Compostela,Antón Valen,Única Representaciones
310,josé-gabriel-campos,Compostela,Norman Taylor,Única Representaciones
311,josé-gabriel-campos,Compostela,Claudia Contín,Única Representaciones
312,josé-gabriel-campos,Compostela,Ferruccio Merisi,Única Representaciones
313,josé-gabriel-campos,no hay info,Scuola Internazionale,Única Representaciones
314,josé-gabriel-campos,no hay info,Attore Comico,Única Representaciones
315,josé-gabriel-campos,no hay info,Antonio Fava,Única Representaciones
316,josé-gabriel-campos,no hay info,Reggio Emilia,Única Representaciones
317,josé-gabriel-campos,no hay info,Antón Valén,Única Representaciones
318,josé-gabriel-campos,Madrid,Valdimir Olshansky,Única Representaciones
319,josé-gabriel-campos,Madrid,Residui Teatro,Única Representaciones
320,josé-gabriel-campos,no hay info,Estill Voice,Única Representaciones
321,josé-gabriel-campos,no hay info,Hellen Rowson,Única Representaciones
322,josé-gabriel-campos,Murcia,Centro Párraga,Única Representaciones
323,josé-gabriel-campos,no hay info,Stage Internationale,Única Representaciones
324,josé-gabriel-campos,no hay info,Antonio Fava,Única Representaciones
325,josé-gabriel-campos,no hay info,Reggio Emilia,Única Representaciones
326,josé-gabriel-campos,Valencia,Carles Castillo,Única Representaciones
327,josé-gabriel-campos,Murcia,Matej Matejka,Única Representaciones
328,josé-gabriel-campos,Murcia,Gema Galiana,Única Representaciones
329,josé-gabriel-campos,no hay info,Instytut Grotowskiego,Única Representaciones
330,josé-gabriel-campos,no hay info,,Única Representaciones
331,josé-gabriel-campos,no hay info,Técnica Gestual,Única Representaciones
332,josé-gabriel-campos,no hay info,Scuola Internazionale,Única Representaciones
333,josé-gabriel-campos,no hay info,Attore Comico,Única Representaciones
334,josé-gabriel-campos,no hay info,Antonio Fava,Única Representaciones
335,josé-gabriel-campos,no hay info,Reggio Emilia,Única Representaciones
336,josé-gabriel-campos,Murcia,Stage Internazionale,Única Representaciones
337,josé-gabriel-campos,Murcia,Reggio Emilia,Única Representaciones
338,josé-gabriel-campos,Murcia,Collectif Au,Única Representaciones
339,josé-gabriel-campos,Murcia,Kreativhaus Berlin,Única Representaciones
340,josé-gabriel-campos,Murcia,Porto Iracema,Única Representaciones
341,josé-gabriel-campos,no hay info,,Única Representaciones
342,josé-gabriel-campos,no hay info,,Única Representaciones
343,josé-gabriel-campos,no hay info,,Única Representaciones
344,josé-gabriel-campos,no hay info,,Única Representaciones
345,josé-gabriel-campos,no hay info,,Única Representaciones
346,josé-gabriel-campos,no hay info,,Única Representaciones
347,josé-gabriel-campos,no hay info,,Única Representaciones
348,josé-gabriel-campos,no hay info,,Única Representaciones
349,josé-gabriel-campos,no hay info,,Única Representaciones
350,josé-gabriel-campos,no hay info,,Única Representaciones
351,josé-gabriel-campos,no hay info,,Única Representaciones
352,iván-cózar,no hay info,,Única Representaciones
353,iván-cózar,Murcia,Arte Dramático,Única Representaciones
354,iván-cózar,no hay info,,Única Representaciones
355,iván-cózar,no hay info,Cristina Alcaraz,Única Representaciones
356,iván-cózar,no hay info,Eva Torres,Única Representaciones
357,iván-cózar,no hay info,,Única Representaciones
358,iván-cózar,no hay info,Bufón Pablo,Única Representaciones
359,iván-cózar,no hay info,Lecoq Estudis,Única Representaciones
360,iván-cózar,no hay info,Berty Tovías,Única Representaciones
361,iván-cózar,no hay info,Antón Valén,Única Representaciones
362,iván-cózar,no hay info,Pablo Bermejo,Única Representaciones
363,iván-cózar,no hay info,David García,Única Representaciones
364,iván-cózar,no hay info,,Única Representaciones
365,iván-cózar,no hay info,,Única Representaciones
366,iván-cózar,no hay info,,Única Representaciones
367,ramon-san-román,no hay info,Lorena Bayona,Única Representaciones
368,ramon-san-román,no hay info,Técnica Meisner,Única Representaciones
369,ramon-san-román,no hay info,Javier Galitó,Única Representaciones
370,ramon-san-román,no hay info,,Única Representaciones
371,ramon-san-román,no hay info,Fernando Piernas,Única Representaciones
372,ramon-san-román,no hay info,,Única Representaciones
373,ramon-san-román,no hay info,Carmen Rico,Única Representaciones
374,ramon-san-román,no hay info,Escuela Estudio,Única Representaciones
375,ramon-san-román,no hay info,Mario Bolaños,Única Representaciones
376,ramon-san-román,no hay info,,Única Representaciones
377,ramon-san-román,Pereira,Gerardo Herrero,Única Representaciones
378,ramon-san-román,Pereira,Tornasol Films,Única Representaciones
379,ramon-san-román,Pereira,Javier Fesser,Única Representaciones
380,ramon-san-román,Pereira,Manuel Gómez,Única Representaciones
381,ramon-san-román,no hay info,Juan León,Única Representaciones
382,ramon-san-román,no hay info,Kike Narcea,Única Representaciones
383,ramon-san-román,no hay info,Carla Revuelta,Única Representaciones
384,ramon-san-román,no hay info,Inma Torrente,Única Representaciones
385,ramon-san-román,no hay info,Jorge Navas,Única Representaciones
386,ramon-san-román,no hay info,José Luis,Única Representaciones
387,ramon-san-román,no hay info,Juan Gonzalez,Única Representaciones
388,ramon-san-román,no hay info,Verso Juan,Única Representaciones
389,ramon-san-román,no hay info,Manuel Navas,Única Representaciones
390,ramon-san-román,no hay info,Alberto Magallares,Única Representaciones
391,ramon-san-román,no hay info,Carlos Manzanares,Única Representaciones
392,ramon-san-román,no hay info,Expresión Corporal,Única Representaciones
393,ramon-san-román,no hay info,Eva Egido,Única Representaciones
394,ramon-san-román,no hay info,,Única Representaciones
395,ramon-san-román,no hay info,,Única Representaciones
396,miguel-ángel-puro,Murcia,Arte Dramático,Única Representaciones
397,miguel-ángel-puro,no hay info,,Única Representaciones
398,miguel-ángel-puro,no hay info,,Única Representaciones
